Titulo,Descripción,Categoría,URL,Fecha de última actualización de datos (UTC),Vistas,Descargas,Número de Filas,Información de la Entidad: Nombre de la Entidad
ESTABLECIMIENTOS VIGILADOS POR EL INVIMA EN LA DISCIPLINA DE ALIMENTOS,"Contiene la relación de establecimientos a nivel Nacional, que actualmente son sujetos de actividades de inspección, vigilancia y con-trol por parte del Invima, de acuerdo con lo reportado en el censo de establecimientos de alimentos y bebidas de la entidad, cuya publicación fue solicitada por el Ministerio de Tecnologías de la Información y las Comunicaciones, mediante oficios con radicado de entrada 20201002544 y 20201014668. Con corte a Diciembre de 2020.

Estos datos se han establecido a corte a Enero 2020 y son cambian-tes dependiendo de sus visitas posteriores, por lo tanto es responsabilidad del usuario verificar directamente con la empresa.",Salud y Protección Social,https:--www.datos.gov.co-d-uhs6-qp53,11-11-2017,1279,622,7989,Instituto Nacional de Vigilancia de Medicamentos y Alimentos
Plan Anual de Adquisiciones - SECOP I,Información de los planes anuales de adquisiciones registrados en los 3 últimos años en la plataforma SECOP I,Gastos Gubernamentales,https:--www.datos.gov.co-d-sit3-h7ku,12-12-2017,1233,103,2927402,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
Beneficiarios Más Familias en Acción,"Datos anonimizados del programa Más Familias en Acción, determinando características generales de los beneficiarios, valor y tipo de incentivo recibido.",Inclusión Social y Reconciliación,https:--www.datos.gov.co-d-xfif-myr2,01-01-2018,142669,1952,3986705,Departamento Administrativo para la Prosperidad Social
SECOP Integrado,"Información integrada de los procesos de compra pública que se han registrado en las plataformas SECOP I y II, que han finalizado con un contrato.",Gastos Gubernamentales,https:--www.datos.gov.co-d-rpmr-utcd,02-02-2018,70599,6513,11785299,Agencia Nacional de Contratación Pública Colombia Compra Eficiente
Caracterización del Empleo Público,"Información respecto de la caracterización de los servidores públicos registrados en SIGEP de la Rama Ejecutiva Orden Nacional.

Nos interesa conocer su opinión sobre nuestros conjuntos de datos. Lo invitamos a diligenciar esta breve encuesta de satisfacción de datos abiertos: https:--www.funcionpublica.gov.co-encuesta-institucional2",Función pública,https:--www.datos.gov.co-d-h8rs-jxum,03-03-2018,2815,567,34417,Departamento Administrativo de la Función Pública
Asignación de dosis de vacuna contra COVID-19,"Asignación de dosis de vacuna contra COVID-19 a los Departamentos y Distritos.
Diligencia la Encuesta de Satisfacción:
https:--tramites.minsalud.gov.co-FormularioInscripcion-EncuestaSatisfaccion.aspx",Salud y Protección Social,https:--www.datos.gov.co-d-sdvb-4x4j,04-04-2018,5686,975,3180,Ministerio de Salud y Protección Social
Conjunto servidores públicos,"Información de los servidores públicos con una vinculación activa en el Sistema de Información y Gestión del Empleo Público -SIGEP, de acuerdo con el Título 17 del Decreto 1083 de 2015, no se incluye planta privada, personal uniformado, docentes y trabajadores oficiales.

Nos interesa conocer su opinión sobre nuestros conjuntos de datos. Lo invitamos a diligenciar esta breve encuesta de satisfacción de datos abiertos: https:--www.funcionpublica.gov.co-encuesta-institucional2",Función pública,https:--www.datos.gov.co-d-2jzx-383z,05-05-2018,455,58,284975,Departamento Administrativo de la Función Pública
Directorio de la Red Nacional de Bibliotecas Públicas,Conjunto de datos de la información básica y de ubicación de las bibliotecas que conforman la Red Nacional de Bibliotecas Públicas de Colombia.,Cultura,https:--www.datos.gov.co-d-a5h9-fqe9,01-01-2017,8983,1508,1455,Ministerio de Cultura
Detalle de la información registrada en el SUIT por las entidades a nivel nacional y territorial de los trámites u otros procedimientos administrativos y consultas de acceso a la información pública,"Información relacionada con los trámites y otros procedimientos administrativos que reportan las entidades del orden nacional y territorial, en donde se puede consultar los datos relacionados con: Código de entidad, Nombre de la entidad, orden, Naturaleza jurídica, Sector, Departamento, Municipio, Categoría, Número trámite u otro procedimiento administrativo, Nombre del trámite u otro procedimiento administrativo, Numero de documentos, Numero de formularios, Tiene costo, Costo total, producto final, tiempo obtención entre otro.

Nos interesa conocer su opinión sobre nuestros conjuntos de datos. Lo invitamos a diligenciar esta breve encuesta de satisfacción de datos abiertos: https:--www.funcionpublica.gov.co-encuesta-institucional2",Función pública,https:--www.datos.gov.co-d-48fq-mxnm,06-06-2018,495,57,510263,Departamento Administrativo de la Función Pública
Casos positivos de COVID-19 en Colombia,"ACCESO GLOBAL: https:--infogram.com-panorama-general-1h7z2lgn3l9l4ow?live
∙Si usted está tratando de ingresar a la página desde una ubicación geográfica diferente a Colombia, debe solicitar el acceso al correo contactenos@ins.gov.co∙

ATENCIÓN:
Consulte el nuevo catálogo de variables que funcionará a partir del día 29 de octubre: http:--url.ins.gov.co-dataset-covid-info

Datasets históricos: https:--www.ins.gov.co-Paginas-Boletines-casos-COVID-19-Colombia.aspx

Cualquier actualización que se identifique, quedará registrada al día siguiente en la publicación. Consulte la fe de erratas y notas aclaratorias en: http:--www.ins.gov.co-Noticias-Paginas-Coronavirus.aspx",Salud y Protección Social,https:--www.datos.gov.co-d-gt2j-8ykr,07-07-2018,1048491,696341,4974400,Instituto Nacional de Salud
Puntos Vive Digital,"Proyecto iniciado febrero de 2012 y finalizado en julio de 2018
Información de los puntos vive digital instalados en el país. Es un espacio que garantiza el acceso a las Tecnologías de la Información y las Comunicaciones mediante un modelo de servicios sostenible que permite integrar a la comunidad en escenarios de acceso, capacitación, entretenimiento y otras alternativas de servicios TIC en un mismo lugar.","Ciencia, Tecnología e Innovación",https:--www.datos.gov.co-d-etr2-mkeu,08-08-2018,5492,1656,893,Ministerio de Tecnologías de La Información y Las Comunicaciones
